Day,Ratio
2012-09-01,0.505
2012-09-02,0.5486
2012-09-03,0.5693
2012-09-04,0.591
2012-09-05,0.5821
2012-09-06,0.5747
2012-09-07,0.6053
2012-09-08,0.6177
2012-09-09,0.623
2012-09-10,0.6259
2012-09-11,0.6292
2012-09-12,0.6315
2012-09-13,0.6318
2012-09-14,0.6344
2012-09-15,0.6158
2012-09-16,0.6222
2012-09-17,0.623
2012-09-18,0.626
2012-09-19,0.627
2012-09-20,0.6266
2012-09-21,0.6253
2012-09-22,0.6277
2012-09-23,0.6294
2012-09-24,0.6287
2012-09-25,0.612
2012-09-26,0.6243
2012-09-27,0.6259
2012-09-28,0.6274
2012-09-29,0.6281
2012-09-30,0.6272
2012-10-01,0.6285
2012-10-02,0.6277
2012-10-03,0.6293
2012-10-04,0.6306
2012-10-05,0.6295
2012-10-06,0.6318
2012-10-07,0.6315
2012-10-08,0.6319
2012-10-09,0.6301
2012-10-10,0.6306
2012-10-11,0.6297
2012-10-12,0.6069
2012-10-13,0.6076
2012-10-14,0.609
2012-10-15,0.609
2012-10-16,0.609
2012-10-17,0.6078
2012-10-18,0.6104
2012-10-19,0.61
2012-10-20,0.6069
2012-10-21,0.605
2012-10-22,0.6047
2012-10-23,0.6021
2012-10-24,0.6017
2012-10-25,0.6047
2012-10-26,0.6004
2012-10-27,0.5957
2012-10-28,0.5924
2012-10-29,0.5926
2012-10-30,0.594
2012-10-31,0.5966
2012-11-01,0.5192
2012-11-02,0.5184
2012-11-03,0.4795
2012-11-04,0.4591
2012-11-05,0.4475
2012-11-06,0.4395
2012-11-07,0.4132
2012-11-08,0.3741
2012-11-09,0.3649
2012-11-10,0.352
2012-11-11,0.3468
2012-11-12,0.3429
2012-11-14,0.3381
2012-11-15,0.3356
2012-11-16,0.331
2012-11-17,0.3325
2012-11-18,0.3282
2012-11-19,0.3292
2012-11-20,0.3274
2012-11-21,0.33
2012-11-22,0.3272
2012-11-23,0.3277
2012-11-24,0.3278
2012-11-25,0.329
2012-11-26,0.3226
2012-11-27,0.3257
2012-11-28,0.3345
2012-11-29,0.3443
2012-11-30,0.3539
2012-12-01,0.367
2012-12-02,0.378
2012-12-03,0.3816
2012-12-04,0.3827
