Week,Free Web,Subscribed Web,Free iOS,Subscribed iOS
2013-03-04,1.5862,2.2878,3.3115,6.0218
2013-03-11,1.5565,2.1609,3.3739,5.7352
2013-03-18,1.6065,2.0449,3.4979,5.1335
2013-03-25,1.5551,1.9054,3.337,5.0288
2013-04-01,1.51,1.9335,3.3887,5.0262
2013-04-08,1.6095,2.0384,3.4112,5.082
2013-04-15,1.5734,1.9875,3.5146,4.8271
2013-04-22,1.551,1.9319,3.606,4.7849
2013-04-29,1.5468,1.9582,3.5871,4.7119
2013-05-06,1.5449,1.973,3.542,5.1178
2013-05-13,1.56,1.9471,3.5712,5.2869
2013-05-20,1.5282,1.9164,3.63,5.4117
2013-05-27,1.4859,1.8264,3.5581,5.0497
2013-06-03,1.6312,2.0764,3.8755,5.1639
2013-06-10,1.5274,1.8514,3.4728,4.8034
2013-06-17,1.4583,1.8368,3.4643,4.9119
2013-06-24,1.484,1.9168,3.562,5.2956
2013-07-01,1.7277,2.1869,5.0173,6.8097
2013-07-08,1.8537,2.3682,5.4229,7.6348
2013-07-15,2.1323,2.8761,5.5863,7.7717
2013-07-22,2.1605,3.1191,5.3987,7.9516
2013-07-29,2.4836,3.4945,6.3889,9.1445
2013-08-05,2.2197,3.3322,5.8174,8.6872
2013-08-12,2.3938,3.6051,6.7874,9.9357
2013-08-19,2.1442,3.2146,6.9339,9.6574
2013-08-26,2.1802,3.2863,6.887,9.7862
2013-09-02,2.2941,3.2568,7.0859,9.7906
2013-09-09,2.1195,2.9878,6.933,9.7677
2013-09-16,2.0791,2.76,7.0201,10.1386
2013-09-23,2.0423,2.8534,6.4942,9.622
2013-09-30,2.0869,2.9682,6.3465,9.3648
2013-10-07,2.1069,3.0864,6.5786,9.8501
2013-10-14,2.0298,2.9404,6.783,9.6554
2013-10-21,2.0473,2.9212,6.6015,9.5133
2013-10-28,2.0887,2.8863,6.7471,9.6928
2013-11-04,1.4467,1.61,2.5055,2.8591
