Percentile,Free Users,Subscribed Users
0.05,0.133333333333,0.183333333333
0.1,0.316666666667,0.383333333333
0.15,0.516666666667,0.6
0.2,0.733333333333,0.85
0.25,1.0,1.15
0.3,1.35,1.51666666667
0.35,1.75,1.95
0.4,2.21666666667,2.51666666667
0.45,2.83333333333,3.15
0.5,3.55,3.95
0.55,4.46666666667,4.93333333333
0.6,5.38333333333,6.05
0.65,6.7,7.75
0.7,8.7,10.1333333333
0.75,11.65,14.2833333333
0.8,17.3,21.5333333333
0.85,30.0,37.0833333333
0.9,66.9166666667,84.4166666667
0.95,246.966666667,356.916666667
