Day,Ratio
2013-10-07,0.0117
2013-10-08,0.0132
2013-10-09,0.0136
2013-10-10,0.0109
2013-10-11,0.0172
2013-10-12,0.0152
2013-10-13,0.0104
2013-10-14,0.0112
2013-10-15,0.0155
2013-10-16,0.0168
2013-10-17,0.0161
2013-10-18,0.0138
2013-10-19,0.0126
2013-10-20,0.0128
2013-10-21,0.0145
2013-10-22,0.0157
2013-10-23,0.0131
2013-10-24,0.0158
2013-10-25,0.0142
2013-10-26,0.0129
2013-10-27,0.0127
2013-10-28,0.0093
2013-10-29,0.0127
2013-10-30,0.0089
2013-10-31,0.0131
2013-11-01,0.0183
2013-11-02,0.0179
2013-11-03,0.0134
2013-11-04,0.0155
2013-11-05,0.0383
