Date,Country,Rating,User,Version,Title,Review
11/3/2013,IE,5,MadDogGreener,2.1.1,The best way to back up your photos,Have all my photos on laptop and phone backed up into one place. The flashback feature is great also.
11/2/2013,GB,5,We are:london,2.1.1,Amazing photo album,"It's a huge dilemma, how to save and view millions of photos. This app not only solves the problem, it solves loads of others. I'm a keen photographer and run a design agency, this app is amazing. See all your photos, get great history reminders and discover old photos, never loose another photo again. The best app I've ever paid for or owned. Worth every penny. Love it!!!!"
11/2/2013,US,3,jesaf00,2.1.1,Good but...,"Needs to be able to easily create albums and needs to add pictures faster. Takes forever to ""process""."
11/1/2013,FR,5,Grégory Delabrèche,2.1.1,Solution ultime pour sauvegarder ses photos,"Excellent, l'interface est top. Des fonctions sympathiques. On s'occupe de rien tout est automatique. Je conseille vivement"
10/31/2013,GB,5,Nickadg,2.1.1,Everpix is awesome,"i cant recommend this enough. i have it working on my iphone ipad and macbook. I have paid for the premium subscription and i love the fact that all my photos are backed up in the cloud.i love the flashback feature which really helps to keep my photo library ""live"".Finally it is great for sharingtwo improvements i would recommend are:1- ability to sync movies shot on iphone/ ipad2 - ability to provide a read only access to all photons for family members. Would save me having to remember to email updates to my familyotherwise keep up the great work"
10/30/2013,JP,5,戸田 勝也,2.1.1,フラッシュバックが面白いです,1年前、2年前の同じ日に撮った写真があるとフラッシュバックというところに表示されるのが楽しいです。
10/30/2013,US,4,Ut2013,2.1.1,Great app,I love this app! It's great for rediscovering old pictures. You can sync from a lot of different sources. It's not great at recognizing duplicates and there's no manual way to do it. I would also like to add descriptions or tags in some way. I will keep using this app.
10/23/2013,NL,5,Selachii,2.1.1,Awesome,Super service
10/20/2013,BR,5,Ednan,2.1.1,Muito bom,"Um excelente serviço que coloca todas (não só as do iPhone/iPad) fotos que você tem de maneira elegante e inteligente, sem ter que se preocupar com fotos duplicadas e etc."
10/20/2013,BR,5,Ednan,2.1.1,Muito bom,"Um excelente serviço que coloca todas (não só as do iPhone/iPad) fotos que você tem de maneira elegante e inteligente, sem ter que se preocupar com fotos duplicadas e etc."
10/20/2013,US,3,Rkcrawf,2.1.1,Good concept: needs improvements,The app works fine for the most part (although an image uploaded 10 minutes ago shows as 4 hours old). I'd like to be able to edit date for a photo or a group of photos. A map for the geotags would also be nice.
10/19/2013,CA,5,Not to be Burned in Burnaby,2.1.1,Love the flashbacks,Every day I get a flashback email of this day in history. It keeps my photos forgotten photos present for me to enjoy. Great app.
10/18/2013,GB,4,DaleJefferson,2.1.1,"Great service, not the best app","All my photos are backed up, and I can view them on my iPad or on the web, it just works."
10/18/2013,DE,5,tripr,2.1.1,Foto Archivierung,"Mit gefällt das Everpix Konzept und ich gucke mir meine Bilder jetzt deutlich öfter an als vorher. Gerade die Bilder die ich am Pc hochladen sehe ich so öfter, da sie sonst auf der externen Festplatte verschwinden. Zum häufigen betrachten der Bilder trägt besonders die 'Today' Funktion bei. Sie zeigt die Bilder, die ihr genau vor X Jahren gemacht habt. Tolle Funktion!Klar an der Strukturierung der Bilder (Tags wären gut) kann man noch arbeiten, aber der Dienst entwickelt sich ständig weiter (schaut mal auf deren Blog)."
10/17/2013,ES,5,Carles Bruguera Artero,2.1.1,Por fin,"Una aplicacion fàcil i con lo justo. Despues de años con picasa, muy contento del cambio"
10/16/2013,US,5,ThunderNole,2.1.1,Awesome!,"I have tried a bunch of different photo storage services, from Google Plus, and Flickr to more traditional storage like Pogoplug and Skydrive and hands downs this crushes them all. Fast upload speeds and deduplication of photos are huge pluses for me."
10/14/2013,AU,5,thinker0876,2.1,Great,Used this app to keep pics safely on cloud while travelling over 5 weeks. Happy with ease of syncing photos from iPhone
10/13/2013,ES,5,colomain,2.1.1,Perfecta app de backup de fotos,"Perfecta para guardar todas tus fotos. Hace backup automático de las librerías de fotos que le configures, teniendo en cuenta duplicados. Y me encanta la opción de Flashback que cada día me envía fotos de ese día pero de años anteriores."
10/9/2013,US,5,Mefisto82,2.1.1,The BEST photo app!!!,"Saznao sam preko nekih portala za ovu aplikaciju...i odmah sam je testirao :) Zadovoljan sam idejom, dizajnom, lakoćom korišćenja i funkcionalnošću. Ja dosta volim fotografiju i imam dosta slika...tako da mi treba i dosta mesta na cloud-u... Ova app ne broji MB koliko ih potrošim već vremenski period ;) Koji se naravno može dokupiti $ ili ""akcijama"" (deliti link prijateljima, instalirati app za Windows, sinhronizovati neke fotke i sl.). ODLIČNA!"
10/8/2013,US,1,Fleedar,2.1.1,No portrait mode,"Bizarrely, this app can only be used in landscape orientation on iPad. I can't fathom the reason behind this design decision."
10/7/2013,GR,5,Rablex,2.1.1,like,better than photostream! good job guys!
10/7/2013,FR,5,Shrekobba,2.1.1,Meilleur appli pour images dans le cloud!Mais...,"...mais pas d'option de sync pour linux, pour mettre mes photos sur everpix je suis obligé d'utiliser l'OS Windows ou MAC. J'espère ça vient bientôt!! Quand même 5 étoiles car j'ai trouvé finalement une solution claire, facile et innovante pour stocker tous mes photos à une place, en privée (public si voulait)!"
10/6/2013,DE,5,HReinard,2.1.1,Beste Photo Archive in the cloud,If you have digital photos with valid date and time and geo tags then Everpix is unbeatable. I uploaded my more than 200.000 photos and enjoy every day that I have done this. The only way until now to do so.
10/6/2013,US,5,Ragiepew,2.1.1,Best overall photo roll,"Have tried many of the infinite photo roll options out there (loom, G+, picturelife, Flickr, etc) and this is the best overall package.  My favorite features include the ability to have many sources of photos (FB, iPhone, iPhoto, Flickr, email for me) all in one roll, deduplicating(!), flashbacks.Features I'm hoping come soon are Auto-enhance (a la G+), simpler delete ability, and more usable PhotoPages (in iOS).Great all around product and looking forward to future and frequent updates."
10/4/2013,US,4,Rick Austin,2.1.1,Nearly perfect,"The only thing missing is support for tagging or editing metadata. If I could edit, then search for photos by tags or metadata, this service would be perfection itself."
9/29/2013,FR,5,Calusarys,2.1.1,La révolution du classement des photos.,"Everpix a changé ma vie ^^ Fini le classement laborieux des photos, tout est automatisé, facile, rapide ! Et en plus l'application bénéficie d'un design top ! Mention spéciale au Flashback journalier, merci de nous faire nous souvenir de tous ces bons moments !"
9/28/2013,ES,5,Nachovy,2.1.1,La mejor app para sincronizar fotos y compartir,"Lo dicho, una aplicación bestial para mantener sincronizadas las apps entre iOS y OS X (Supongo q también Windows)Así debería ser fotos en streaming se Apple.Brutal la forma de mandar las fotos a familiares mediante Photo Pages...Un 10"
9/28/2013,US,4,korou,2.1.1,Brings back memories...,"I like the new changes in iOS 7; switching back from one picture to the larger gallery is easier. This service is honestly amazing and I open the app after midnight each day to see what pictures I took 1, 2, 6, whatever years ago."
9/28/2013,US,3,Evan Frenkel,2.1.1,Crashes,Explore crashes on iOS 7. Needs an update. I love Everpix though!
9/24/2013,CN,5,Intoskip,2.1.1,赞一个,非常棒！
9/22/2013,DE,5,SiraCusaR,2.1,Perfect,Perfect App for a Perfect Service!
9/22/2013,FR,4,bastou75,2.1.1,Excellent mais pb ios7,"Les versions précédentes nécessitaient un abonnement hors de prix. Et l'interface était minimaliste. On est désormais a l'opposé : diablement simple et efficace, on commence a prendre plaisir a l'utiliser. Sauf depuis ios7 ...On a plus que quelques photos et surtout perdu la fonction flashbackA découvrir."
9/20/2013,US,4,jennyb23,2.1,"Nice app, great service!",I love the flashbacks.
9/20/2013,US,5,bnwklr,2.1,Everpix is the greatest!,Photo management used to be a giant pain. Now it's a pleasure. Everpix makes me happy every day!
9/18/2013,US,3,Zone1982,2.1,"Great, but...",Can we please do everything in portrait?
9/17/2013,US,5,JeffLikesBikes,2.1,Works great,Does what it is supposed to and looks great.
9/17/2013,US,5,GD Mac,2.1,great app,highly recommend the app especially with large photo libraries!! it works fantastic and the flashback feature is killer!
9/16/2013,US,5,Mickie233,2.1,Nice,Great app.
9/15/2013,GB,5,carlbob,2.1,The only way to manage photos,Quite why Apple haven't bought these guys and integrated this into iOS and Mac OS I have no idea - this is the way that Photos should work. Indispensable app and service. Video support would be icing on the cake.
9/15/2013,US,1,nacaseven,2.1,Everpix is awesome!,"It's a great service, I already pay for it.The app is crap though, keeps crashing on my iPad 2 and iPhone 4s."
